push to gitkeyword,name,address,phone,website,rating,reviews,category,email,linkedin,twitter,facebook,instagram,contact_page,issues,lead_score
digital agency London,Mediaplus UK,"
First Floor, Waverley House, 7-12 Noel St, London W1F 8GQ, United Kingdom","
+44 20 7937 3793",https://www.house-of-communication.com/uk/en/brands/mediaplus.html,4.9,11,Advertising agency,crm@serviceplan.com,,,,,https://www.house-of-communication.com/uk/en/brands/mediaplus.html#contact,,6
digital agency London,Thinkfarm Ltd,"
84 Marchmont St, London WC1N 1AG, United Kingdom","
+44 20 7383 8838",http://www.thinkfarm.co.uk/,5.0,1,Design agency,grow@thinkfarm.co.uk,https://uk.linkedin.com/company/thinkfarm,,,https://www.instagram.com/thinkfarm/,,No SSL (site not secure); No contact page link found,6
digital agency London,The Good Marketer | Digital Marketing Agency London,"
20-30 Whitechapel Rd, London E1 1EW, United Kingdom","
+44 20 3576 2150",https://www.thegoodmarketer.co.uk/,4.8,139,Internet marketing service,,,,,,,,3
digital agency London,Dream Digital Agency,"
128 City Rd, London EC1V 2NX, United Kingdom","
+44 800 043 8894",https://dreamdigital.agency/,4.9,28,Marketing agency,,https://uk.linkedin.com/company/dreamdigital-agency,,https://www.facebook.com/dreamdigigroup,https://www.instagram.com/dreamdigital.agency/,https://dreamdigital.agency/,,5
digital agency London,Make Agency,"
The Old Dairy 213, Stapleton House, 110-122 Clifton St, London EC2A 4HT, United Kingdom","
+44 20 3567 0860",http://makeagency.co.uk/,4.9,76,Marketing agency,careers@makeagency.co.uk,https://www.linkedin.com/company/make-agency-uk/,,,https://www.instagram.com/make_agency/,https://makeagency.co.uk/contact/,No SSL (site not secure),7
digital agency London,Make Agency,"
The Old Dairy 213, Stapleton House, 110-122 Clifton St, London EC2A 4HT, United Kingdom","
+44 20 3567 0860",http://makeagency.co.uk/,4.9,76,Marketing agency,hi@makeagency.co.uk,https://www.linkedin.com/company/make-agency-uk/,,,https://www.instagram.com/make_agency/,https://makeagency.co.uk/contact/,No SSL (site not secure),7
digital agency London,PN Digital SEO Agency London,"
Kemp House, 152 - 160 City Rd, London EC1V 2NX, United Kingdom","
+44 20 7846 0130",https://pndigital.co.uk/?gmb,4.9,83,Internet marketing service,info@pndigital.co.uk,https://www.linkedin.com/company/pndigital/,https://twitter.com/PndigitalL,https://www.facebook.com/PNDigitalUk,https://www.instagram.com/pndigitalseo/,https://pndigital.co.uk/contact-us/,,8
digital agency London,Iconic Digital,"
7 Adam St, London WC2N 6AA, United Kingdom","
+44 20 7100 0726",https://www.iconicdigital.co.uk/,4.9,61,Marketing agency,,https://www.linkedin.com/company/iconic-digital-marketing-consultants-ltd,https://twitter.com/Iconic_Digital,https://www.facebook.com/IconicDigital/,https://www.instagram.com/iconicdigital_ltd/,https://www.iconicdigital.co.uk/contact-us/,,5
digital agency London,Pearl Lemon,"
Kemp House, 152 - 160 City Rd, London EC1V 2NX, United Kingdom","
+44 20 7183 3436",https://pearllemon.com/,4.8,163,Internet marketing service,,,,,,,,3
digital agency London,Passion Digital,"
4th Floor, Holborn Tower, 137-144 New Oxford St, London WC1V 6PL, United Kingdom","
+44 20 3432 1360",https://passion.digital/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness,4.8,41,Internet marketing service,enquiries@passiondigital.co.uk,https://www.linkedin.com/in/owen-osztotis-58085362/,,,https://www.instagram.com/passion_digital/?hl=en,https://passion.digital/contact/,,8
digital agency London,Visionary Marketing | Digital Marketing Agency London,"
5 City Rd, London EC1Y 1AG, United Kingdom","
+44 191 607 6707",https://visionary-marketing.co.uk/digital-marketing-agency-london?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,5.0,59,Marketing agency,,,,,,,No contact page link found,2
digital agency London,London Marketing Company - Marketing | Web Design | SEO Agency London,"
Berkeley Square House, Berkeley Square, London W1J 6BD, United Kingdom","
+44 20 3369 5050",https://londonmarketingcompany.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-profile,5.0,101,Marketing agency,,https://www.linkedin.com/company/london-marketing-company/,,https://www.facebook.com/londonmarektingcompany/,https://www.instagram.com/londonmarketingcompanyuk/,https://londonmarketingcompany.co.uk/contact/,,5
